product_name,code,category_name,B1 ויטמין,B6 ויטמין,סיבים תזונתיים,חומצה פולית,אנרגיה,חלבונים,פחמימות,שומנים,נתרן,B3 ויטמין,אשלגן,C ויטמין,ברזל,B2 ויטמין,K ויטמין,E ויטמין,מגנזיום,סוכרים מתוך פחמימות,A ויטמין,סיבים תזונתים,אבץ,מתוכם סוכר מוסף,מתוכם שומן רווי,חומצות שומן טרנס,כפיות סוכר,סידן,כולסטרול,שומן חד בלתי רווי,שומן רב בלתי רווי,סוכרים,נתרן מופחת,רב כהלים,לקטוז,D ויטמין,חלבונים (אלבומין|קזאין‎ 40|60),מתוך הפחמימות לקטוז,ויטמין D קלציפרול,3 חומצות שומן אומגה,DHA + EPA,קפאין,B12 ויטמין,ניאצין,שומן ללא טרנס,B5 ויטמין,חומצה פנתוטנית,שומן רווי,שומן טרנס,חומצות שומן רווי,ניקוטינאמיד,סיבים בלתי מסיבים,מתוכם שומן בלתי רווי,6 חומצות שומן אומגה,מתוך סוכרים חומצות אורגניות,רטיבות,אפר,סוכרוז,ביוטין,יוד,זרחן,מלח,ליקופן,מנגן,סיבים מסיסים,חומצות שומן אולאית,ויטמין E שווי אלפא טוקופרול,חומצת חומץ,ויטמין A שווי רטינול,חומצה אסקורבית,עמילן,ARA חומצת שומן,DHA חומצת שומן,נוקלאוטידים,חומצת שומן לינולאית,חומצת שומן לינולנית,סלניום,נחושת,טאורין,כולין,אינוסיטול,לוטאין,חומצה אלפא לינולנית,גלקטואוליגוסכרידים,כלור,קרניטין,כלוריד,חומצת שומן AA,ויטמין B3 ניקוטינאמיד שווי חומ,K אשלגן,לחות,כרום,מוליבדן,בלתי רווי,חומצה לאורית,חומצה לינולאית,DHA,EPA,כלורופיל
קלמנטינה,P_964560,פירות,0.09,0.08,1.7,24,47,9,12,0.2,1,0.6,177,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
תפוח עץ מוזהב,P_963136,פירות,0,0,2.4,0,52,0.3,13.8,0.2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
לימון,P_964492,פירות,0,0.08,2.8,0,29,1.1,9.3,0.3,2,0,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
תפוז ברשת למיץ,P_964348,פירות,0.09,0.06,2.5,39,49,1,11.9,0.3,0,0,179,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אבוקדו,P_964980,פירות,0.07,0.3,6.7,81,160,2,8.5,14.7,7,1.7,485,10,0.6,0.1,21,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אננס ראש,P_7296073292012,פירות,0.08,0.1,1.4,18,50,0.5,13.1,0.1,1,0,0,48,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אגס ספדונה,P_964829,פירות,0,0,3.1,0,57,0.4,15.2,0.1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
תמר מגהול סופר עסיסי,P_7296073407560,פירות,0,0,0,0,235,1.6,57,0,0,0,438,0,0,0,0,0,64,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אפרסמון סיני,P_966328,פירות,0,0,3.6,0,70,0.6,18.6,0.2,1,0,0,7.5,0,0.1,0,0.7,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
רימון,P_966564,פירות,0.07,0.08,4,38,83,1.7,18.7,1.2,3,0,236,10,0,0.05,16,0.6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
