Product_Name,code,1_kg,Vitamin_B1,Vitamin_B6,Dietary_fiber,Folic_acid,energy,Proteins,Carbohydrates,Fats,sodium,Vitamin_B3,potassium,Vitamin_C,iron,1_unit,100_g,Vitamin_B2,Vitamin_K.,Vitamin_E.,Magnesium,Carbohydrate_sugars,A_vitamin,Dietary_fiber,zinc,Of_which_added_sugar,100_ml,Of_which_saturated_fat,Trans_fatty_acids,Teaspoons_of_sugar,calcium,Cholesterol,Monounsaturated_fat,Polyunsaturated_fat,Sugars,Reduced_sodium,Many_alcohols,Lactose,Vitamin_D.,1_cm,Proteins_(Albumin_|_Casein_40_|_60),From_the_carbohydrates_lactose,Vitamin_D_Calciprolol,3_omega_fatty_acids,DHA_+_EPA,caffeine,Vitamin_B12,Niacin,Fat_without_trans,Vitamin_B5,Pantothenic_acid,Saturated_fat,Trans_fat,Saturated_fatty_acids,Nicotinamide,Non-fibrous_fibers,Of_which_unsaturated_fat,6_omega_fatty_acids,From_sugars_to_organic_acids,wetness,ash,Sucrose,Biotin,iodine,phosphorus,Salt,Lycopene,manganese,Soluble_fiber,Oleic_fatty_acids,Vitamin_E_equals_alpha_tocopherol,Acetic_acid,Vitamin_A_is_worth_retinol,Ascorbic_acid,K_Potassium,starch,ARA_fatty_acid,DHA_fatty_acid,Nucleotides,Linoleic_fatty_acid,Linoleic_fatty_acid,selenium,copper,Taurine,Choline,Inositol,Lutein,Alpha_linolenic_acid,Galactooligosaccharides,chlorine,Carnitine,Chloride,AA_fatty_acid,Vitamin_B3_Nicotinamide_Equilibrium,humidity,chromium,Molybdenum,1_meter,100_meters,Unsaturated,Acidic_acid,Linoleic_acid,DHA,EPA,Chlorophyll
clementine,P_964560,5.9,0.09,0.08,1.7,24,47,9,12,0.2,1,0.6,177,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilded_apple,P_963136,10.9,0,0,2.4,0,52,0.3,13.8,0.2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lemon,P_964492,6.9,0,0.08,2.8,0,29,1.1,9.3,0.3,2,0,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange_in_the_juice_network,P_964348,4.9,0.09,0.06,2.5,39,49,1,11.9,0.3,0,0,179,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avocado,P_964980,9.9,0.07,0.3,6.7,81,160,2,8.5,14.7,7,1.7,485,10,0.6,0,0,0.1,21,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pineapple_head,P_7296073292012,29.9,0.08,0.1,1.4,18,50,0.5,13.1,0.1,1,0,0,48,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spadona_pear,P_964829,13.9,0,0,3.1,0,57,0.4,15.2,0.1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamar_Mahgol_is_super_juicy,P_7296073407560,0,0,0,0,0,235,1.6,57,0,0,0,438,0,0,0,5.98,0,0,0,64,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese_persimmon,P_966328,13.9,0,0,3.6,0,70,0.6,18.6,0.2,1,0,0,7.5,0,0,0,0.1,0,0.7,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pomegranate,P_966564,9.9,0.07,0.08,4,38,83,1.7,18.7,1.2,3,0,236,10,0,0,0,0.05,16,0.6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red_grapefruit,P_964393,5.9,0.04,0.05,1.6,0,42,0.8,10.7,0.1,0,0,0,31,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
