שם המוצר,"1 ק""ג",B1 ויטמין,B6 ויטמין,סיבים תזונתיים,חומצה פולית,אנרגיה,חלבונים,פחמימות,שומנים,נתרן,B3 ויטמין,אשלגן,C ויטמין,ברזל,1 יחידה,100 גרם,B2 ויטמין,K ויטמין,E ויטמין,מגנזיום,סוכרים מתוך פחמימות,A ויטמין,סיבים תזונתים,אבץ,מתוכם סוכר מוסף,"100 מ""ל",מתוכם שומן רווי,חומצות שומן טרנס,כפיות סוכר,סידן,כולסטרול,שומן חד בלתי רווי,שומן רב בלתי רווי,סוכרים,נתרן מופחת,רב כהלים,לקטוז,D ויטמין,"1 ס""מ",חלבונים (אלבומין|קזאין‎ 40|60),מתוך הפחמימות לקטוז,ויטמין D קלציפרול,3 חומצות שומן אומגה,DHA + EPA,קפאין,B12 ויטמין,ניאצין,B5 ויטמין,שומן ללא טרנס,חומצה פנתוטנית,שומן טרנס,שומן רווי,חומצות שומן רווי,ניקוטינאמיד,סיבים בלתי מסיבים,מתוכם שומן בלתי רווי,6 חומצות שומן אומגה,מתוך סוכרים חומצות אורגניות,רטיבות,אפר,סוכרוז,ביוטין,יוד,זרחן,מלח,ליקופן,מנגן,סיבים מסיסים,חומצות שומן אולאית,ויטמין E שווי אלפא טוקופרול,חומצת חומץ,ויטמין A שווי רטינול,חומצה אסקורבית,עמילן,ARA חומצת שומן,DHA חומצת שומן,נוקלאוטידים,חומצת שומן לינולאית,חומצת שומן לינולנית,סלניום,נחושת,טאורין,כולין,אינוסיטול,לוטאין,חומצה אלפא לינולנית,גלקטואוליגוסכרידים,כלור,קרניטין,כלוריד,חומצת שומן AA,ויטמין B3 ניקוטינאמיד שווי חומ,K אשלגן,לחות,כרום,מוליבדן,1 מטר,100 מטר,בלתי רווי,חומצה לאורית,חומצה לינולאית,DHA,EPA,כלורופיל,,
קלמנטינה,5.9,0.09,0.08,1.7,24,47,9,12,0.2,1,0.6,177,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
תפוח עץ מוזהב,10.9,0,0,2.4,0,52,0.3,13.8,0.2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
לימון,6.9,0,0.08,2.8,0,29,1.1,9.3,0.3,2,0,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
תפוז ברשת למיץ,4.9,0.09,0.06,2.5,39,49,1,11.9,0.3,0,0,179,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
אבוקדו,9.9,0.07,0.3,6.7,81,160,2,8.5,14.7,7,1.7,485,10,0.6,0,0,0.1,21,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
אננס ראש,29.9,0.08,0.1,1.4,18,50,0.5,13.1,0.1,1,0,0,48,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
אגס ספדונה,13.9,0,0,3.1,0,57,0.4,15.2,0.1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
תמר מגהול סופר עסיסי,0,0,0,0,0,235,1.6,57,0,0,0,438,0,0,0,5.98,0,0,0,64,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
אפרסמון סיני,13.9,0,0,3.6,0,70,0.6,18.6,0.2,1,0,0,7.5,0,0,0,0.1,0,0.7,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
רימון,9.9,0.07,0.08,4,38,83,1.7,18.7,1.2,3,0,236,10,0,0,0,0.05,16,0.6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
